user_id,signup_date,user_segment,state,age_group,tenure_days
USR000092,2024-12-27,Power,Telangana,25-34,609
USR000093,2025-06-11,Occasional,West Bengal,35-44,443
USR000094,2024-01-11,Frequent,Haryana,45-59,960
USR000095,2025-11-09,New,Maharashtra,25-34,292
USR000096,2025-01-27,Frequent,West Bengal,25-34,578
USR000097,2025-06-17,Occasional,Haryana,18-24,437
USR000098,2023-07-18,Occasional,West Bengal,25-34,1137
USR000099,2026-03-01,Frequent,Rajasthan,25-34,180
USR000100,2025-05-23,Occasional,Telangana,25-34,462
USR000101,2024-01-01,Power,Maharashtra,35-44,970
USR000102,2024-03-07,Occasional,Uttar Pradesh,25-34,904
USR000103,2024-10-05,New,Uttar Pradesh,18-24,692
USR000104,2024-08-12,Occasional,West Bengal,18-24,746
USR000105,2023-12-13,Occasional,Uttar Pradesh,60+,989
USR000106,2023-08-06,Power,Uttar Pradesh,18-24,1118
USR000107,2024-02-28,Frequent,Rajasthan,35-44,912
USR000108,2023-02-26,Frequent,Maharashtra,45-59,1279
USR000109,2026-01-10,Frequent,Tamil Nadu,18-24,230
USR000110,2023-02-22,Occasional,Uttar Pradesh,45-59,1283
USR000111,2026-03-15,Occasional,West Bengal,25-34,166
USR000112,2025-07-18,Occasional,Karnataka,35-44,406
USR000113,2023-09-03,Occasional,Telangana,25-34,1090
USR000114,2023-06-27,Power,Uttar Pradesh,35-44,1158
USR000115,2023-08-27,Power,Karnataka,35-44,1097
USR000116,2024-03-31,Frequent,Gujarat,18-24,880
USR000117,2024-11-17,Occasional,Rajasthan,25-34,649
USR000118,2023-06-01,Frequent,Gujarat,45-59,1184
USR000119,2023-03-20,Occasional,Rajasthan,25-34,1257
USR000120,2026-02-17,Frequent,Maharashtra,45-59,192
USR000121,2023-01-17,Occasional,Haryana,25-34,1319
USR000122,2024-03-26,Frequent,Uttar Pradesh,25-34,885
USR000123,2025-09-19,Power,West Bengal,18-24,343
USR000124,2024-02-11,Frequent,Karnataka,45-59,929
USR000125,2024-03-14,New,Karnataka,25-34,897
USR000126,2024-03-03,Frequent,Maharashtra,25-34,908
USR000127,2024-06-22,Frequent,Haryana,18-24,797
USR000128,2024-12-15,Frequent,Delhi,35-44,621
USR000129,2024-04-19,Power,West Bengal,25-34,861
USR000130,2025-03-14,Frequent,Rajasthan,25-34,532
USR000131,2023-07-17,Occasional,Uttar Pradesh,25-34,1138
USR000132,2025-07-04,Occasional,Telangana,18-24,420
USR000133,2025-08-09,Power,Karnataka,25-34,384
USR000134,2025-03-26,Frequent,West Bengal,35-44,520
USR000135,2025-09-28,Frequent,Tamil Nadu,18-24,334
USR000136,2024-07-02,Frequent,Telangana,18-24,787
USR000137,2024-10-23,Occasional,Gujarat,25-34,674
USR000138,2025-06-24,Occasional,Uttar Pradesh,45-59,430
USR000139,2024-07-03,Frequent,Tamil Nadu,25-34,786
USR000140,2023-04-04,Occasional,Telangana,18-24,1242
USR000141,2023-12-08,Frequent,Karnataka,45-59,994
USR000142,2024-11-06,New,Rajasthan,18-24,660
USR000143,2023-02-13,Power,Karnataka,35-44,1292
USR000144,2024-11-13,Power,Rajasthan,18-24,653
USR000145,2023-04-11,Frequent,Gujarat,25-34,1235
USR000146,2023-11-18,Power,Telangana,35-44,1014
USR000147,2024-04-14,Occasional,Delhi,45-59,866
USR000148,2024-11-09,Occasional,Rajasthan,35-44,657
USR000149,2023-01-28,New,Maharashtra,35-44,1308
USR000150,2025-12-14,New,Telangana,35-44,257
USR000151,2023-03-28,Occasional,Uttar Pradesh,18-24,1249
USR000152,2024-05-21,New,Karnataka,35-44,829
USR000153,2025-02-12,Frequent,Delhi,35-44,562
USR000154,2024-07-06,Power,Karnataka,18-24,783
USR000155,2025-04-30,New,Rajasthan,25-34,485
USR000156,2023-11-07,New,Haryana,35-44,1025
USR000157,2024-02-02,Power,Uttar Pradesh,35-44,938
USR000158,2025-05-20,Frequent,Maharashtra,25-34,465
USR000159,2025-07-28,Occasional,Uttar Pradesh,45-59,396
USR000160,2026-03-26,Frequent,Uttar Pradesh,25-34,155
USR000161,2024-03-31,Power,Rajasthan,18-24,880
USR000162,2024-08-05,Power,Rajasthan,25-34,753
USR000163,2025-02-22,New,West Bengal,35-44,552
USR000164,2025-02-02,Frequent,Karnataka,25-34,572
USR000165,2026-03-29,Power,Telangana,35-44,152
USR000166,2025-07-04,Occasional,Haryana,18-24,420
USR000167,2024-09-28,Occasional,Karnataka,18-24,699
USR000168,2023-12-13,Occasional,West Bengal,25-34,989
USR000169,2023-06-21,New,Haryana,35-44,1164
USR000170,2025-12-07,Frequent,Haryana,35-44,264
USR000171,2023-05-01,Frequent,Uttar Pradesh,25-34,1215
USR000172,2024-11-22,Power,Maharashtra,25-34,644
USR000173,2026-03-03,Frequent,Maharashtra,18-24,178
USR000174,2024-03-04,Frequent,West Bengal,25-34,907
USR000175,2024-10-03,Power,Tamil Nadu,25-34,694
USR000176,2025-09-16,Frequent,Karnataka,45-59,346
USR000177,2025-05-21,Frequent,Telangana,18-24,464
USR000178,2023-01-28,Occasional,Karnataka,18-24,1308
USR000179,2025-06-15,Power,Karnataka,18-24,439
USR000180,2025-05-18,Frequent,Rajasthan,25-34,467
USR000181,2026-01-25,Occasional,Maharashtra,18-24,215
USR000182,2025-06-10,Power,Uttar Pradesh,25-34,444
USR000183,2025-01-31,Frequent,Delhi,18-24,574
USR000184,2025-12-07,Frequent,Haryana,45-59,264
USR000185,2025-01-30,Frequent,Uttar Pradesh,25-34,575
USR000186,2024-03-07,Power,Delhi,18-24,904
USR000187,2025-08-28,New,Telangana,18-24,365
USR000188,2025-08-21,New,Maharashtra,25-34,372
USR000189,2024-01-20,Occasional,Karnataka,25-34,951
USR000190,2024-11-08,New,Haryana,25-34,658
USR000191,2023-11-17,New,Rajasthan,45-59,1015
USR000192,2024-12-07,Frequent,Tamil Nadu,18-24,629
USR000193,2025-05-22,Frequent,Uttar Pradesh,25-34,463
USR000194,2025-04-05,Power,Rajasthan,25-34,510
USR000195,2024-02-19,New,Delhi,18-24,921
USR000196,2024-03-19,Occasional,Uttar Pradesh,25-34,892
USR000197,2023-09-17,Frequent,Haryana,25-34,1076
USR000198,2025-02-23,Occasional,Haryana,25-34,551
USR000199,2025-08-27,Occasional,Maharashtra,35-44,366
USR000200,2024-03-19,New,Haryana,18-24,892
USR000201,2023-12-04,Frequent,Maharashtra,25-34,998
USR000202,2023-04-17,New,West Bengal,25-34,1229
USR000203,2025-08-24,Occasional,Rajasthan,35-44,369
USR000204,2024-05-08,Frequent,Telangana,35-44,842
USR000205,2025-08-29,Occasional,Rajasthan,25-34,364
USR000206,2023-06-10,Power,Tamil Nadu,45-59,1175
USR000207,2024-07-22,Frequent,Telangana,25-34,767
USR000208,2025-09-30,Frequent,Uttar Pradesh,25-34,332
USR000209,2026-02-16,Power,Gujarat,18-24,193
USR000210,2025-01-18,Power,Gujarat,35-44,587
USR000211,2024-03-13,Frequent,Tamil Nadu,25-34,898
USR000212,2024-01-02,Power,Maharashtra,18-24,969
USR000213,2025-01-09,Frequent,Maharashtra,25-34,596
USR000214,2024-11-03,New,Gujarat,45-59,663
USR000215,2025-10-26,Power,Haryana,18-24,306
USR000216,2024-07-17,Frequent,Telangana,18-24,772
USR000217,2024-06-02,Occasional,Maharashtra,60+,817
USR000218,2023-03-04,Power,West Bengal,60+,1273
USR000219,2025-07-19,Frequent,West Bengal,35-44,405
USR000220,2026-01-22,Power,Maharashtra,25-34,218
USR000221,2023-11-10,Frequent,Delhi,35-44,1022
USR000222,2023-09-27,New,Karnataka,18-24,1066
USR000223,2023-05-08,Occasional,Rajasthan,18-24,1208
USR000224,2024-02-02,Frequent,Maharashtra,25-34,938
USR000225,2024-10-10,Power,Delhi,45-59,687
USR000226,2025-01-20,Frequent,Telangana,25-34,585
USR000227,2023-05-06,New,Rajasthan,18-24,1210
USR000228,2024-06-30,New,West Bengal,18-24,789
USR000229,2024-02-11,Frequent,Telangana,18-24,929
USR000230,2023-01-07,Occasional,Rajasthan,25-34,1329
USR000231,2024-11-30,Frequent,Karnataka,25-34,636
USR000232,2025-08-06,New,Karnataka,18-24,387
USR000233,2023-06-26,Occasional,Haryana,25-34,1159
USR000234,2023-02-11,Frequent,Maharashtra,18-24,1294
USR000235,2025-02-06,Frequent,Tamil Nadu,25-34,568
USR000236,2024-01-27,Frequent,Delhi,25-34,944
USR000237,2025-02-15,Frequent,Delhi,18-24,559
USR000238,2026-03-03,Occasional,Tamil Nadu,35-44,178
USR000239,2024-07-12,Power,Delhi,60+,777
USR000240,2024-06-15,Frequent,Uttar Pradesh,18-24,804
USR000241,2024-12-28,Frequent,Gujarat,35-44,608
USR000242,2025-12-07,Occasional,Delhi,18-24,264
USR000243,2026-04-13,Occasional,Rajasthan,25-34,137
USR000244,2025-06-07,Occasional,Uttar Pradesh,18-24,447
USR000245,2025-10-28,Frequent,Uttar Pradesh,18-24,304
USR000246,2024-03-07,Occasional,West Bengal,18-24,904
USR000247,2023-08-25,Frequent,Delhi,25-34,1099
USR000248,2025-08-14,Frequent,Gujarat,25-34,379
USR000249,2023-03-11,Occasional,Karnataka,25-34,1266
USR000250,2023-01-17,Occasional,West Bengal,25-34,1319
USR000251,2023-07-25,Occasional,Gujarat,25-34,1130
USR000252,2025-08-14,Frequent,Maharashtra,25-34,379
USR000253,2025-07-23,Frequent,Telangana,35-44,401
USR000254,2025-08-27,Power,Uttar Pradesh,35-44,366
USR000255,2024-11-22,Frequent,Telangana,25-34,644
USR000256,2024-04-24,Frequent,Rajasthan,18-24,856
USR000257,2025-05-22,Frequent,Haryana,25-34,463
USR000258,2023-02-28,Occasional,Delhi,45-59,1277
USR000259,2025-12-09,Occasional,Haryana,35-44,262
USR000260,2023-09-24,Frequent,Maharashtra,60+,1069
USR000261,2024-09-25,Frequent,Delhi,35-44,702
USR000262,2025-07-28,Occasional,West Bengal,18-24,396
USR000263,2023-10-30,Occasional,Delhi,25-34,1033
USR000264,2023-06-14,Occasional,Tamil Nadu,25-34,1171
USR000265,2024-05-16,Occasional,Rajasthan,35-44,834
USR000266,2025-02-05,New,Delhi,25-34,569
USR000267,2025-08-22,Frequent,Telangana,25-34,371
USR000268,2025-08-25,Frequent,West Bengal,35-44,368
USR000269,2023-07-16,Occasional,Gujarat,35-44,1139
USR000270,2023-10-01,Occasional,Gujarat,45-59,1062
USR000271,2025-05-19,Frequent,Rajasthan,18-24,466
USR000272,2025-09-27,Frequent,Haryana,18-24,335
USR000273,2023-12-31,Frequent,Gujarat,25-34,971
USR000274,2025-10-23,Power,Haryana,25-34,309
USR000275,2025-03-26,Power,Tamil Nadu,18-24,520
USR000276,2024-01-20,New,Uttar Pradesh,25-34,951
USR000277,2024-11-26,Occasional,Delhi,25-34,640
USR000278,2024-08-06,Occasional,West Bengal,18-24,752
USR000279,2025-05-13,Occasional,Telangana,25-34,472
USR000280,2023-08-06,Frequent,Karnataka,25-34,1118
USR000281,2023-07-27,Frequent,Telangana,35-44,1128
USR000282,2023-01-26,Occasional,Delhi,25-34,1310
USR000283,2025-02-25,Frequent,Maharashtra,25-34,549
USR000284,2025-04-02,Occasional,Maharashtra,25-34,513
USR000285,2024-06-13,Frequent,Karnataka,25-34,806
USR000286,2025-07-11,Frequent,West Bengal,35-44,413
USR000287,2025-12-31,Power,Karnataka,35-44,240
USR000288,2025-05-18,Frequent,Telangana,35-44,467
USR000289,2023-06-13,Occasional,Gujarat,45-59,1172
USR000290,2024-06-12,Occasional,Haryana,35-44,807
USR000291,2025-07-20,Occasional,West Bengal,18-24,404
USR000292,2023-09-06,Power,West Bengal,25-34,1087
USR000293,2025-01-26,Occasional,Gujarat,25-34,579
USR000294,2023-02-18,Frequent,Delhi,18-24,1287
USR000295,2025-05-04,New,Gujarat,18-24,481
USR000296,2023-03-14,Frequent,Gujarat,35-44,1263
USR000297,2025-12-24,Frequent,Tamil Nadu,18-24,247
USR000298,2025-12-31,New,Delhi,25-34,240
USR000299,2025-06-01,Power,Gujarat,60+,453
USR000300,2024-05-14,Power,Rajasthan,25-34,836
USR000301,2023-03-25,New,Gujarat,18-24,1252
USR000302,2023-07-27,Occasional,Karnataka,25-34,1128
USR000303,2024-09-10,Occasional,Maharashtra,18-24,717
USR000304,2024-06-10,Frequent,Karnataka,35-44,809
USR000305,2025-06-06,Power,Tamil Nadu,25-34,448
USR000306,2024-09-12,Frequent,Rajasthan,35-44,715
USR000307,2024-05-14,Frequent,Maharashtra,25-34,836
USR000308,2025-08-26,Occasional,Telangana,18-24,367
USR000309,2024-01-16,Occasional,Maharashtra,25-34,955
USR000310,2024-01-07,Frequent,Uttar Pradesh,18-24,964
USR000311,2024-02-29,New,Telangana,25-34,911
USR000312,2024-07-16,Occasional,Haryana,35-44,773
USR000313,2024-10-13,New,Tamil Nadu,18-24,684
USR000314,2024-10-26,Occasional,Haryana,18-24,671
USR000315,2025-08-01,Frequent,Haryana,25-34,392
USR000316,2025-03-07,Frequent,Rajasthan,18-24,539
USR000317,2024-11-28,Occasional,West Bengal,18-24,638
USR000318,2025-10-18,Occasional,Delhi,25-34,314
USR000319,2024-06-07,Occasional,Haryana,45-59,812
USR000320,2025-09-23,Frequent,Gujarat,18-24,339
USR000321,2025-12-20,Occasional,Uttar Pradesh,35-44,251
USR000322,2025-07-13,Frequent,Maharashtra,18-24,411
USR000323,2026-04-12,Occasional,Gujarat,25-34,138
USR000324,2025-04-30,Power,Maharashtra,35-44,485
USR000325,2024-08-04,Frequent,West Bengal,60+,754
USR000326,2025-02-07,Power,Delhi,25-34,567
USR000327,2023-09-10,New,Tamil Nadu,18-24,1083
USR000328,2023-08-15,Frequent,Delhi,35-44,1109
USR000329,2025-04-01,Frequent,Gujarat,35-44,514
USR000330,2025-05-06,Power,Uttar Pradesh,25-34,479
USR000331,2025-01-13,Frequent,Gujarat,25-34,592
USR000332,2025-12-26,Occasional,Telangana,25-34,245
USR000333,2025-08-08,Occasional,West Bengal,18-24,385
USR000334,2023-12-30,Occasional,Maharashtra,25-34,972
USR000335,2024-11-15,Frequent,Delhi,25-34,651
USR000336,2023-07-21,Occasional,Telangana,60+,1134
USR000337,2025-04-20,Occasional,Maharashtra,25-34,495
USR000338,2023-10-11,Frequent,Rajasthan,60+,1052
USR000339,2026-03-14,Frequent,Maharashtra,25-34,167
USR000340,2024-05-26,Occasional,West Bengal,25-34,824
USR000341,2025-01-28,New,Haryana,45-59,577
USR000342,2025-03-08,Frequent,Tamil Nadu,35-44,538
USR000343,2023-11-27,Frequent,Tamil Nadu,18-24,1005
USR000344,2024-02-14,Occasional,Uttar Pradesh,18-24,926
USR000345,2023-03-05,Occasional,West Bengal,25-34,1272
USR000346,2025-06-27,Power,Delhi,60+,427
USR000347,2025-10-21,Frequent,Haryana,35-44,311
USR000348,2023-11-23,Occasional,Karnataka,18-24,1009
USR000349,2023-03-08,Frequent,Telangana,35-44,1269
USR000350,2025-08-20,Power,Karnataka,35-44,373
USR000351,2024-06-16,Power,Rajasthan,18-24,803
USR000352,2025-12-29,Frequent,West Bengal,25-34,242
USR000353,2023-05-03,Occasional,Telangana,35-44,1213
USR000354,2023-03-23,Occasional,Rajasthan,25-34,1254
USR000355,2025-06-20,Occasional,Karnataka,18-24,434
USR000356,2024-06-21,Frequent,Haryana,35-44,798
USR000357,2023-08-17,Frequent,Gujarat,25-34,1107
USR000358,2024-11-26,New,Tamil Nadu,35-44,640
USR000359,2024-03-06,Occasional,Gujarat,25-34,905
USR000360,2023-06-01,Frequent,West Bengal,35-44,1184
USR000361,2024-06-16,Occasional,West Bengal,25-34,803
USR000362,2025-07-11,Frequent,Haryana,18-24,413
USR000363,2023-03-15,Frequent,Delhi,25-34,1262
USR000364,2023-02-23,Occasional,Gujarat,25-34,1282
USR000365,2024-08-19,Occasional,Delhi,25-34,739
USR000366,2024-09-16,Frequent,West Bengal,25-34,711
USR000367,2023-11-13,Frequent,Delhi,18-24,1019
USR000368,2024-08-21,Power,Uttar Pradesh,25-34,737
USR000369,2023-02-27,Power,Haryana,25-34,1278
USR000370,2026-04-11,New,Gujarat,35-44,139
USR000371,2025-11-24,Occasional,Haryana,45-59,277
USR000372,2024-12-05,Frequent,Haryana,35-44,631
USR000373,2024-10-05,Frequent,Telangana,35-44,692
USR000374,2025-09-20,Frequent,Rajasthan,25-34,342
USR000375,2025-09-18,Power,Maharashtra,25-34,344
USR000376,2023-05-13,Occasional,Uttar Pradesh,18-24,1203
USR000377,2023-11-04,Occasional,Karnataka,25-34,1028
USR000378,2024-12-31,Frequent,Haryana,45-59,605
USR000379,2023-01-25,Power,Rajasthan,45-59,1311
USR000380,2024-02-19,Occasional,Maharashtra,25-34,921
USR000381,2023-07-22,Power,Rajasthan,18-24,1133
USR000382,2026-02-07,Power,Rajasthan,35-44,202
USR000383,2023-04-25,Occasional,Rajasthan,18-24,1221
USR000384,2024-06-08,Frequent,Delhi,25-34,811
USR000385,2024-05-16,Occasional,West Bengal,18-24,834
USR000386,2024-06-28,Frequent,Karnataka,35-44,791
USR000387,2023-05-11,Power,Delhi,25-34,1205
USR000388,2023-05-05,Occasional,Tamil Nadu,25-34,1211
USR000389,2026-04-05,Frequent,Karnataka,25-34,145
USR000390,2023-04-15,Occasional,Karnataka,18-24,1231
USR000391,2023-08-27,Occasional,West Bengal,18-24,1097
USR000392,2026-01-15,Frequent,Haryana,25-34,225
USR000393,2026-03-11,New,Telangana,35-44,170
USR000394,2023-08-17,Frequent,West Bengal,35-44,1107
USR000395,2024-02-03,Frequent,Haryana,35-44,937
USR000396,2023-01-02,Occasional,Telangana,25-34,1334
USR000397,2025-10-05,Frequent,Gujarat,25-34,327
USR000398,2025-11-19,Occasional,Uttar Pradesh,18-24,282
USR000399,2025-12-25,Occasional,Uttar Pradesh,25-34,246
USR000400,2025-10-27,Occasional,West Bengal,18-24,305
USR000401,2024-01-09,Frequent,Gujarat,45-59,962
USR000402,2025-11-09,Frequent,Delhi,18-24,292
USR000403,2025-06-03,Frequent,Karnataka,45-59,451
USR000404,2025-06-26,Occasional,Rajasthan,35-44,428
USR000405,2024-02-01,Frequent,Tamil Nadu,18-24,939
USR000406,2025-10-24,Occasional,Rajasthan,25-34,308
USR000407,2024-09-06,Power,Tamil Nadu,25-34,721
USR000408,2023-11-13,Occasional,Tamil Nadu,35-44,1019
USR000409,2023-12-18,Power,Haryana,25-34,984
USR000410,2024-10-28,Power,West Bengal,25-34,669
USR000411,2025-05-03,Frequent,Uttar Pradesh,18-24,482
USR000412,2024-06-22,Frequent,Uttar Pradesh,25-34,797
USR000413,2024-09-19,Occasional,Gujarat,35-44,708
USR000414,2024-10-07,Occasional,Telangana,25-34,690
USR000415,2025-05-04,New,Telangana,18-24,481
USR000416,2025-04-17,Occasional,Delhi,60+,498
USR000417,2024-07-15,New,Tamil Nadu,18-24,774
USR000418,2024-06-08,Occasional,Gujarat,18-24,811
USR000419,2025-05-25,Frequent,Gujarat,25-34,460
USR000420,2024-02-13,Frequent,Haryana,25-34,927
USR000421,2024-07-15,New,Tamil Nadu,18-24,774
USR000422,2025-09-09,Power,Haryana,25-34,353
USR000423,2023-04-05,Frequent,Telangana,25-34,1241
USR000424,2025-09-24,Occasional,Haryana,25-34,338
USR000425,2023-05-02,New,Gujarat,18-24,1214
USR000426,2025-01-26,Occasional,Uttar Pradesh,18-24,579
USR000427,2023-10-03,Power,Karnataka,25-34,1060
USR000428,2025-04-27,Power,Delhi,25-34,488
USR000429,2026-03-21,Occasional,Karnataka,25-34,160
USR000430,2024-11-02,Frequent,Uttar Pradesh,25-34,664
USR000431,2024-08-19,Frequent,Delhi,35-44,739
USR000432,2023-05-20,Power,Gujarat,45-59,1196
USR000433,2025-01-09,Power,West Bengal,35-44,596
USR000434,2024-03-15,Occasional,West Bengal,18-24,896
USR000435,2025-01-11,Occasional,Uttar Pradesh,18-24,594
USR000436,2023-02-17,New,Telangana,25-34,1288
USR000437,2025-09-23,Frequent,Rajasthan,18-24,339
USR000438,2025-11-15,Occasional,Haryana,25-34,286
USR000439,2023-03-07,Power,Gujarat,35-44,1270
USR000440,2025-10-04,Occasional,Gujarat,25-34,328
USR000441,2023-06-04,Frequent,Rajasthan,35-44,1181
USR000442,2025-12-25,Occasional,Rajasthan,35-44,246
USR000443,2023-06-29,Frequent,West Bengal,25-34,1156
USR000444,2024-01-26,Frequent,Telangana,35-44,945
USR000445,2025-08-11,Frequent,Delhi,25-34,382
USR000446,2023-05-30,Occasional,Haryana,25-34,1186
USR000447,2025-12-16,Frequent,Telangana,45-59,255
USR000448,2025-04-02,Frequent,Maharashtra,25-34,513
USR000449,2025-03-09,New,Tamil Nadu,25-34,537
USR000450,2023-11-05,Occasional,Tamil Nadu,25-34,1027
USR000451,2024-10-30,Frequent,Tamil Nadu,35-44,667
USR000452,2026-03-22,Power,Haryana,18-24,159
USR000453,2023-10-31,Occasional,Delhi,18-24,1032
USR000454,2025-12-28,Frequent,Maharashtra,35-44,243
USR000455,2026-01-11,Occasional,Karnataka,25-34,229
USR000456,2024-10-07,Power,Tamil Nadu,18-24,690
USR000457,2023-12-01,Occasional,Uttar Pradesh,18-24,1001
USR000458,2024-03-20,Frequent,Maharashtra,18-24,891
USR000459,2025-06-19,New,Telangana,18-24,435
USR000460,2024-03-03,Occasional,West Bengal,25-34,908
USR000461,2024-02-11,Occasional,Telangana,25-34,929
USR000462,2023-09-13,New,Delhi,25-34,1080
USR000463,2026-03-30,Frequent,Karnataka,18-24,151
USR000464,2024-03-05,New,West Bengal,35-44,906
USR000465,2025-01-03,Frequent,Gujarat,25-34,602
USR000466,2024-03-06,Power,Rajasthan,25-34,905
USR000467,2024-06-06,Frequent,West Bengal,18-24,813
USR000468,2025-02-17,Power,Telangana,45-59,557
USR000469,2023-07-24,Occasional,Uttar Pradesh,35-44,1131
USR000470,2025-06-08,Power,Uttar Pradesh,18-24,446
USR000471,2023-06-22,Frequent,Telangana,35-44,1163
USR000472,2023-02-02,Power,Uttar Pradesh,35-44,1303
USR000473,2024-10-24,New,Tamil Nadu,18-24,673
USR000474,2023-01-19,New,Delhi,18-24,1317
USR000475,2025-08-20,Frequent,Maharashtra,25-34,373
USR000476,2024-03-05,Power,Uttar Pradesh,25-34,906
USR000477,2025-04-29,Power,Telangana,18-24,486
USR000478,2025-11-28,Power,Delhi,25-34,273
USR000479,2023-08-13,Frequent,Maharashtra,25-34,1111
USR000480,2024-09-18,Occasional,Gujarat,45-59,709
