device_id,operating_system,os_version,device_category
DEV000195,iOS,16.5,Mid-range
DEV000196,iOS,16.5,Mid-range
DEV000197,Android,12,Mid-range
DEV000198,Android,11,Budget
DEV000199,Android,12,Mid-range
DEV000200,Android,13,Mid-range
DEV000201,Android,12,Budget
DEV000202,Android,12,Premium
DEV000203,Android,14,Budget
DEV000204,Android,11,Mid-range
DEV000205,Android,13,Budget
DEV000206,Android,14,Mid-range
DEV000207,Android,13,Budget
DEV000208,Android,11,Budget
DEV000209,Android,11,Mid-range
DEV000210,Android,14,Budget
DEV000211,Android,12,Mid-range
DEV000212,Android,11,Mid-range
DEV000213,Android,12,Budget
DEV000214,Android,13,Budget
DEV000215,Android,14,Mid-range
DEV000216,Android,11,Mid-range
DEV000217,Android,11,Premium
DEV000218,Android,12,Budget
DEV000219,Android,11,Mid-range
DEV000220,Android,12,Mid-range
DEV000221,Android,13,Premium
DEV000222,Android,13,Premium
DEV000223,iOS,16.5,Mid-range
DEV000224,Android,13,Mid-range
DEV000225,Android,14,Mid-range
DEV000226,iOS,16.5,Mid-range
DEV000227,Android,12,Budget
DEV000228,Android,11,Mid-range
DEV000229,Android,14,Mid-range
DEV000230,Android,13,Budget
DEV000231,Android,11,Budget
DEV000232,Android,12,Budget
DEV000233,Android,12,Budget
DEV000234,Android,11,Mid-range
DEV000235,Android,13,Budget
DEV000236,Android,12,Mid-range
DEV000237,Android,12,Budget
DEV000238,Android,12,Premium
DEV000239,Android,13,Mid-range
DEV000240,iOS,16.5,Mid-range
DEV000241,Android,12,Budget
DEV000242,Android,12,Mid-range
DEV000243,iOS,16.5,Premium
DEV000244,Android,12,Mid-range
DEV000245,Android,12,Mid-range
DEV000246,Android,11,Budget
DEV000247,Android,12,Budget
DEV000248,Android,12,Mid-range
DEV000249,Android,12,Budget
DEV000250,Android,12,Budget
DEV000251,Android,13,Budget
DEV000252,Android,12,Mid-range
DEV000253,Android,11,Mid-range
DEV000254,Android,11,Mid-range
DEV000255,Android,11,Budget
DEV000256,Android,11,Budget
DEV000257,Android,14,Budget
DEV000258,Android,14,Mid-range
DEV000259,Android,12,Budget
DEV000260,Android,11,Mid-range
DEV000261,iOS,17.2,Budget
DEV000262,Android,13,Mid-range
DEV000263,Android,13,Mid-range
DEV000264,iOS,16.5,Budget
DEV000265,Android,11,Budget
DEV000266,Android,11,Mid-range
DEV000267,Android,13,Budget
DEV000268,Android,13,Mid-range
DEV000269,Android,11,Mid-range
DEV000270,Android,13,Budget
DEV000271,Android,14,Premium
DEV000272,Android,11,Budget
DEV000273,Android,12,Mid-range
DEV000274,iOS,17.2,Budget
DEV000275,Android,13,Budget
DEV000276,Android,13,Mid-range
DEV000277,Android,11,Mid-range
DEV000278,iOS,16.5,Mid-range
DEV000279,Android,11,Premium
DEV000280,Android,14,Budget
DEV000281,Android,12,Budget
DEV000282,Android,12,Budget
DEV000283,Android,14,Mid-range
DEV000284,Android,11,Premium
DEV000285,Android,13,Mid-range
DEV000286,Android,13,Mid-range
DEV000287,Android,13,Premium
DEV000288,Android,12,Mid-range
DEV000289,Android,12,Mid-range
DEV000290,Android,12,Mid-range
DEV000291,Android,12,Premium
DEV000292,Android,14,Budget
DEV000293,iOS,16.5,Budget
DEV000294,Android,12,Mid-range
DEV000295,Android,12,Budget
DEV000296,iOS,16.5,Budget
DEV000297,Android,11,Mid-range
DEV000298,Android,12,Premium
DEV000299,Android,13,Budget
DEV000300,Android,11,Premium
DEV000301,Android,11,Mid-range
DEV000302,Android,12,Mid-range
DEV000303,Android,13,Mid-range
DEV000304,Android,12,Mid-range
DEV000305,Android,11,Budget
DEV000306,Android,13,Budget
DEV000307,Android,13,Mid-range
DEV000308,Android,12,Mid-range
DEV000309,Android,13,Budget
DEV000310,Android,13,Budget
DEV000311,Android,12,Budget
DEV000312,Android,11,Budget
DEV000313,Android,12,Mid-range
DEV000314,Android,11,Budget
DEV000315,Android,12,Mid-range
DEV000316,iOS,17.2,Mid-range
DEV000317,Android,12,Budget
DEV000318,Android,11,Budget
DEV000319,Android,11,Budget
DEV000320,Android,12,Budget
DEV000321,iOS,17.2,Mid-range
DEV000322,Android,13,Budget
DEV000323,iOS,16.5,Mid-range
DEV000324,iOS,16.5,Mid-range
DEV000325,Android,12,Mid-range
DEV000326,Android,11,Budget
DEV000327,iOS,16.5,Mid-range
DEV000328,Android,14,Mid-range
DEV000329,Android,11,Mid-range
DEV000330,Android,11,Budget
DEV000331,Android,13,Budget
DEV000332,iOS,17.2,Budget
DEV000333,Android,14,Mid-range
DEV000334,Android,14,Budget
DEV000335,Android,12,Mid-range
DEV000336,Android,12,Premium
DEV000337,iOS,17.2,Budget
DEV000338,Android,13,Mid-range
DEV000339,Android,13,Premium
DEV000340,Android,11,Budget
DEV000341,Android,13,Budget
DEV000342,Android,11,Budget
DEV000343,Android,11,Mid-range
DEV000344,Android,13,Budget
DEV000345,Android,11,Mid-range
DEV000346,Android,13,Mid-range
DEV000347,Android,13,Premium
DEV000348,Android,14,Mid-range
DEV000349,Android,13,Premium
DEV000350,Android,12,Mid-range
DEV000351,Android,13,Premium
DEV000352,Android,14,Budget
DEV000353,Android,11,Budget
DEV000354,Android,13,Mid-range
DEV000355,Android,12,Budget
DEV000356,Android,13,Mid-range
DEV000357,iOS,16.5,Mid-range
DEV000358,Android,12,Budget
DEV000359,Android,11,Mid-range
DEV000360,Android,12,Budget
DEV000361,Android,11,Premium
DEV000362,Android,14,Mid-range
DEV000363,iOS,17.2,Premium
DEV000364,Android,13,Budget
DEV000365,Android,11,Mid-range
DEV000366,Android,12,Mid-range
DEV000367,iOS,16.5,Budget
DEV000368,Android,13,Mid-range
DEV000369,Android,12,Budget
DEV000370,Android,12,Budget
DEV000371,Android,13,Premium
DEV000372,Android,12,Mid-range
DEV000373,Android,12,Premium
DEV000374,Android,14,Mid-range
DEV000375,Android,12,Budget
DEV000376,Android,12,Premium
DEV000377,Android,12,Mid-range
DEV000378,iOS,17.2,Mid-range
DEV000379,Android,12,Mid-range
DEV000380,Android,11,Budget
DEV000381,Android,14,Mid-range
DEV000382,Android,14,Budget
DEV000383,Android,12,Premium
DEV000384,Android,12,Mid-range
DEV000385,Android,11,Premium
DEV000386,Android,13,Budget
DEV000387,Android,11,Mid-range
DEV000388,Android,13,Budget
DEV000389,iOS,17.2,Premium
DEV000390,Android,12,Budget
DEV000391,Android,14,Mid-range
DEV000392,Android,13,Mid-range
DEV000393,Android,12,Mid-range
DEV000394,iOS,17.2,Budget
DEV000395,Android,13,Budget
DEV000396,iOS,16.5,Mid-range
DEV000397,iOS,16.5,Premium
DEV000398,Android,12,Mid-range
DEV000399,Android,12,Premium
DEV000400,Android,12,Mid-range
DEV000401,Android,12,Budget
DEV000402,Android,13,Premium
DEV000403,Android,12,Budget
DEV000404,Android,12,Budget
DEV000405,Android,13,Mid-range
DEV000406,Android,12,Budget
DEV000407,Android,11,Mid-range
DEV000408,Android,13,Budget
DEV000409,Android,14,Budget
DEV000410,Android,13,Mid-range
DEV000411,Android,14,Budget
DEV000412,Android,13,Mid-range
DEV000413,iOS,17.2,Mid-range
DEV000414,Android,11,Mid-range
DEV000415,Android,13,Premium
DEV000416,iOS,16.5,Mid-range
DEV000417,Android,12,Mid-range
DEV000418,Android,13,Mid-range
DEV000419,Android,13,Budget
DEV000420,Android,12,Premium
DEV000421,Android,12,Mid-range
DEV000422,Android,13,Premium
DEV000423,iOS,16.5,Premium
DEV000424,Android,12,Budget
DEV000425,Android,13,Mid-range
DEV000426,iOS,16.5,Budget
DEV000427,Android,11,Mid-range
DEV000428,iOS,16.5,Premium
DEV000429,Android,13,Mid-range
DEV000430,Android,11,Mid-range
DEV000431,iOS,16.5,Mid-range
DEV000432,Android,13,Premium
DEV000433,Android,11,Mid-range
DEV000434,Android,12,Budget
DEV000435,Android,11,Mid-range
DEV000436,Android,13,Mid-range
DEV000437,Android,11,Budget
DEV000438,iOS,16.5,Mid-range
DEV000439,Android,11,Premium
DEV000440,Android,11,Mid-range
DEV000441,Android,12,Budget
DEV000442,Android,11,Mid-range
DEV000443,iOS,16.5,Mid-range
DEV000444,Android,11,Mid-range
DEV000445,Android,12,Mid-range
DEV000446,Android,13,Mid-range
DEV000447,Android,12,Mid-range
DEV000448,Android,11,Budget
DEV000449,Android,12,Budget
DEV000450,Android,13,Mid-range
DEV000451,iOS,17.2,Budget
DEV000452,iOS,17.2,Mid-range
DEV000453,Android,12,Mid-range
DEV000454,Android,13,Mid-range
DEV000455,Android,11,Mid-range
DEV000456,Android,12,Premium
DEV000457,Android,12,Mid-range
DEV000458,Android,13,Budget
DEV000459,Android,13,Mid-range
DEV000460,Android,13,Mid-range
DEV000461,Android,13,Mid-range
DEV000462,Android,13,Premium
DEV000463,Android,13,Budget
DEV000464,Android,12,Mid-range
DEV000465,Android,13,Budget
DEV000466,Android,12,Mid-range
DEV000467,Android,11,Budget
DEV000468,Android,12,Premium
DEV000469,Android,12,Premium
DEV000470,Android,14,Budget
DEV000471,Android,14,Mid-range
DEV000472,Android,14,Mid-range
DEV000473,Android,12,Budget
DEV000474,iOS,17.2,Budget
DEV000475,iOS,17.2,Premium
DEV000476,Android,13,Premium
DEV000477,iOS,17.2,Mid-range
DEV000478,Android,12,Mid-range
DEV000479,Android,11,Mid-range
DEV000480,Android,12,Mid-range
DEV000481,Android,13,Mid-range
DEV000482,Android,14,Premium
DEV000483,Android,11,Budget
DEV000484,Android,11,Premium
DEV000485,Android,13,Premium
DEV000486,Android,11,Budget
DEV000487,Android,14,Premium
DEV000488,Android,12,Mid-range
DEV000489,Android,11,Premium
DEV000490,Android,12,Mid-range
DEV000491,Android,11,Premium
DEV000492,Android,11,Mid-range
DEV000493,Android,13,Mid-range
DEV000494,iOS,16.5,Mid-range
DEV000495,Android,13,Budget
DEV000496,Android,12,Budget
DEV000497,Android,12,Mid-range
DEV000498,iOS,17.2,Budget
DEV000499,Android,12,Mid-range
DEV000500,iOS,17.2,Premium
DEV000501,Android,11,Mid-range
DEV000502,Android,12,Premium
DEV000503,Android,12,Budget
DEV000504,Android,11,Budget
DEV000505,Android,14,Mid-range
DEV000506,Android,13,Mid-range
DEV000507,Android,13,Budget
DEV000508,Android,14,Budget
DEV000509,Android,11,Mid-range
DEV000510,Android,11,Mid-range
DEV000511,Android,11,Budget
DEV000512,iOS,16.5,Budget
DEV000513,Android,11,Premium
DEV000514,Android,11,Premium
DEV000515,Android,11,Budget
DEV000516,Android,12,Budget
DEV000517,Android,13,Budget
DEV000518,Android,11,Mid-range
DEV000519,Android,11,Budget
DEV000520,Android,11,Budget
DEV000521,Android,13,Mid-range
DEV000522,Android,13,Mid-range
DEV000523,Android,14,Mid-range
DEV000524,Android,11,Mid-range
DEV000525,iOS,16.5,Budget
DEV000526,Android,14,Premium
DEV000527,Android,12,Mid-range
DEV000528,iOS,17.2,Budget
DEV000529,Android,12,Mid-range
DEV000530,Android,13,Mid-range
DEV000531,iOS,16.5,Budget
DEV000532,Android,11,Mid-range
DEV000533,Android,11,Budget
DEV000534,Android,13,Mid-range
DEV000535,Android,12,Premium
DEV000536,Android,12,Mid-range
DEV000537,Android,13,Budget
DEV000538,Android,13,Premium
DEV000539,Android,13,Mid-range
DEV000540,Android,13,Budget
DEV000541,Android,12,Budget
DEV000542,Android,12,Mid-range
DEV000543,Android,12,Budget
DEV000544,Android,12,Mid-range
DEV000545,Android,12,Budget
DEV000546,iOS,16.5,Budget
DEV000547,Android,14,Budget
DEV000548,Android,11,Mid-range
DEV000549,Android,14,Mid-range
DEV000550,Android,13,Mid-range
DEV000551,Android,12,Budget
DEV000552,Android,12,Mid-range
DEV000553,Android,14,Premium
DEV000554,Android,13,Premium
DEV000555,Android,13,Budget
DEV000556,Android,13,Budget
DEV000557,Android,13,Budget
DEV000558,Android,11,Mid-range
DEV000559,Android,12,Mid-range
DEV000560,Android,13,Mid-range
DEV000561,Android,14,Premium
DEV000562,Android,14,Mid-range
DEV000563,Android,13,Budget
DEV000564,iOS,16.5,Mid-range
DEV000565,Android,12,Budget
DEV000566,Android,13,Budget
DEV000567,Android,12,Budget
DEV000568,iOS,16.5,Mid-range
DEV000569,Android,12,Budget
DEV000570,Android,13,Budget
DEV000571,Android,13,Budget
DEV000572,Android,12,Budget
DEV000573,Android,12,Mid-range
DEV000574,Android,14,Mid-range
DEV000575,Android,11,Budget
DEV000576,Android,11,Mid-range
DEV000577,Android,13,Budget
DEV000578,Android,13,Mid-range
DEV000579,Android,12,Budget
DEV000580,Android,14,Budget
DEV000581,Android,12,Budget
DEV000582,Android,13,Mid-range
DEV000583,Android,13,Budget
DEV000584,Android,12,Mid-range
DEV000585,Android,11,Budget
DEV000586,Android,11,Budget
DEV000587,Android,12,Budget
DEV000588,Android,11,Mid-range
DEV000589,Android,11,Budget
DEV000590,Android,13,Mid-range
DEV000591,Android,14,Mid-range
DEV000592,Android,11,Premium
DEV000593,Android,11,Budget
DEV000594,iOS,16.5,Premium
DEV000595,Android,13,Mid-range
DEV000596,Android,13,Mid-range
DEV000597,Android,11,Budget
DEV000598,Android,12,Mid-range
DEV000599,Android,13,Mid-range
DEV000600,iOS,16.5,Budget
DEV000601,Android,14,Budget
DEV000602,Android,13,Mid-range
DEV000603,Android,12,Budget
DEV000604,Android,12,Budget
DEV000605,Android,11,Mid-range
DEV000606,Android,11,Mid-range
DEV000607,iOS,16.5,Budget
DEV000608,Android,13,Mid-range
DEV000609,Android,14,Budget
DEV000610,Android,11,Budget
DEV000611,Android,13,Mid-range
DEV000612,Android,13,Budget
DEV000613,Android,14,Mid-range
DEV000614,Android,14,Mid-range
DEV000615,Android,12,Premium
DEV000616,Android,13,Mid-range
DEV000617,Android,13,Premium
DEV000618,Android,13,Budget
DEV000619,Android,11,Mid-range
DEV000620,Android,12,Budget
DEV000621,Android,11,Mid-range
DEV000622,Android,12,Mid-range
DEV000623,Android,11,Mid-range
DEV000624,Android,11,Premium
DEV000625,iOS,16.5,Mid-range
DEV000626,Android,12,Mid-range
DEV000627,Android,13,Mid-range
DEV000628,iOS,16.5,Mid-range
DEV000629,Android,14,Mid-range
DEV000630,Android,12,Mid-range
DEV000631,Android,11,Budget
DEV000632,Android,11,Premium
DEV000633,Android,12,Mid-range
DEV000634,Android,12,Budget
DEV000635,Android,11,Mid-range
DEV000636,Android,12,Mid-range
DEV000637,Android,11,Budget
DEV000638,Android,12,Mid-range
DEV000639,Android,12,Mid-range
DEV000640,Android,14,Mid-range
DEV000641,Android,11,Budget
DEV000642,Android,13,Budget
DEV000643,Android,13,Mid-range
DEV000644,iOS,16.5,Premium
DEV000645,Android,12,Mid-range
DEV000646,Android,11,Budget
DEV000647,iOS,17.2,Mid-range
DEV000648,Android,12,Mid-range
DEV000649,iOS,16.5,Budget
DEV000650,Android,12,Mid-range
DEV000651,Android,14,Mid-range
DEV000652,Android,14,Mid-range
DEV000653,Android,13,Mid-range
DEV000654,Android,13,Mid-range
DEV000655,Android,12,Budget
DEV000656,Android,11,Budget
DEV000657,iOS,16.5,Mid-range
DEV000658,Android,11,Budget
DEV000659,Android,11,Mid-range
DEV000660,Android,11,Mid-range
DEV000661,Android,14,Premium
DEV000662,Android,11,Budget
DEV000663,Android,14,Budget
DEV000664,Android,12,Budget
DEV000665,Android,14,Mid-range
DEV000666,Android,14,Budget
DEV000667,Android,12,Mid-range
DEV000668,Android,13,Budget
DEV000669,Android,12,Budget
DEV000670,Android,13,Mid-range
DEV000671,Android,12,Budget
DEV000672,Android,14,Mid-range
DEV000673,Android,14,Budget
DEV000674,iOS,16.5,Premium
DEV000675,Android,12,Budget
DEV000676,Android,12,Mid-range
DEV000677,iOS,17.2,Mid-range
DEV000678,Android,14,Budget
DEV000679,Android,12,Mid-range
DEV000680,iOS,16.5,Mid-range
DEV000681,Android,11,Mid-range
DEV000682,iOS,16.5,Budget
DEV000683,Android,14,Budget
DEV000684,iOS,16.5,Budget
DEV000685,Android,12,Premium
DEV000686,Android,11,Mid-range
DEV000687,Android,12,Budget
DEV000688,Android,11,Mid-range
DEV000689,Android,11,Premium
DEV000690,Android,12,Budget
DEV000691,iOS,16.5,Mid-range
DEV000692,Android,13,Mid-range
DEV000693,Android,11,Budget
DEV000694,Android,14,Mid-range
DEV000695,Android,11,Mid-range
DEV000696,Android,12,Budget
DEV000697,Android,11,Budget
DEV000698,Android,14,Mid-range
DEV000699,Android,13,Mid-range
DEV000700,Android,11,Budget
DEV000701,Android,12,Budget
DEV000702,Android,12,Mid-range
DEV000703,Android,12,Budget
DEV000704,iOS,16.5,Mid-range
DEV000705,Android,11,Mid-range
DEV000706,Android,11,Budget
DEV000707,Android,12,Mid-range
DEV000708,Android,11,Mid-range
DEV000709,Android,13,Budget
DEV000710,iOS,17.2,Budget
DEV000711,Android,12,Mid-range
DEV000712,iOS,17.2,Mid-range
DEV000713,Android,12,Mid-range
DEV000714,Android,13,Premium
DEV000715,Android,12,Budget
DEV000716,Android,14,Budget
DEV000717,Android,13,Mid-range
DEV000718,Android,14,Mid-range
DEV000719,Android,12,Budget
DEV000720,Android,12,Mid-range
DEV000721,Android,11,Mid-range
DEV000722,Android,12,Mid-range
DEV000723,Android,13,Mid-range
DEV000724,Android,11,Mid-range
DEV000725,Android,12,Budget
DEV000726,Android,11,Budget
DEV000727,Android,11,Premium
DEV000728,Android,12,Premium
DEV000729,Android,12,Budget
DEV000730,Android,14,Budget
DEV000731,Android,12,Mid-range
DEV000732,iOS,16.5,Budget
DEV000733,Android,11,Budget
DEV000734,iOS,16.5,Mid-range
DEV000735,iOS,16.5,Budget
DEV000736,iOS,17.2,Mid-range
DEV000737,Android,12,Premium
DEV000738,Android,12,Mid-range
DEV000739,Android,13,Budget
DEV000740,Android,13,Mid-range
DEV000741,Android,12,Budget
DEV000742,Android,11,Mid-range
DEV000743,Android,12,Mid-range
DEV000744,Android,12,Mid-range
DEV000745,Android,12,Budget
DEV000746,iOS,16.5,Budget
DEV000747,iOS,17.2,Budget
DEV000748,iOS,17.2,Premium
DEV000749,Android,11,Mid-range
DEV000750,Android,12,Mid-range
DEV000751,Android,13,Premium
DEV000752,Android,11,Mid-range
DEV000753,Android,14,Budget
DEV000754,Android,11,Mid-range
DEV000755,Android,12,Budget
DEV000756,Android,13,Mid-range
DEV000757,Android,13,Premium
DEV000758,Android,12,Mid-range
DEV000759,Android,13,Mid-range
DEV000760,Android,12,Mid-range
DEV000761,Android,11,Budget
DEV000762,Android,13,Mid-range
DEV000763,Android,12,Mid-range
DEV000764,Android,12,Budget
DEV000765,Android,12,Premium
DEV000766,Android,12,Premium
DEV000767,Android,12,Budget
DEV000768,iOS,16.5,Mid-range
DEV000769,iOS,16.5,Mid-range
DEV000770,Android,11,Mid-range
DEV000771,Android,14,Budget
DEV000772,Android,12,Budget
DEV000773,Android,12,Premium
DEV000774,iOS,16.5,Mid-range
DEV000775,iOS,16.5,Mid-range
DEV000776,Android,14,Mid-range
DEV000777,Android,11,Budget
DEV000778,Android,11,Mid-range
DEV000779,Android,11,Mid-range
DEV000780,Android,12,Mid-range
DEV000781,Android,13,Mid-range
DEV000782,Android,11,Budget
DEV000783,iOS,17.2,Mid-range
DEV000784,Android,12,Mid-range
DEV000785,Android,14,Budget
DEV000786,iOS,17.2,Mid-range
DEV000787,Android,12,Mid-range
DEV000788,Android,12,Premium
DEV000789,Android,14,Mid-range
DEV000790,Android,11,Premium
DEV000791,Android,12,Premium
DEV000792,Android,11,Budget
DEV000793,Android,11,Budget
DEV000794,Android,12,Mid-range
DEV000795,Android,12,Premium
DEV000796,iOS,16.5,Mid-range
DEV000797,Android,12,Mid-range
DEV000798,Android,13,Budget
DEV000799,Android,12,Mid-range
DEV000800,Android,12,Budget
DEV000801,iOS,16.5,Budget
DEV000802,Android,13,Mid-range
DEV000803,Android,13,Mid-range
DEV000804,Android,13,Mid-range
DEV000805,Android,11,Budget
DEV000806,Android,13,Mid-range
DEV000807,Android,13,Mid-range
DEV000808,Android,12,Mid-range
DEV000809,Android,12,Mid-range
DEV000810,Android,12,Premium
DEV000811,Android,12,Mid-range
DEV000812,Android,13,Budget
DEV000813,Android,11,Budget
DEV000814,Android,12,Mid-range
DEV000815,Android,11,Mid-range
DEV000816,Android,12,Mid-range
DEV000817,Android,13,Premium
DEV000818,iOS,17.2,Budget
DEV000819,Android,12,Mid-range
DEV000820,Android,12,Mid-range
DEV000821,Android,12,Budget
DEV000822,Android,11,Budget
DEV000823,Android,12,Mid-range
DEV000824,Android,11,Premium
DEV000825,Android,11,Budget
DEV000826,Android,13,Budget
DEV000827,Android,14,Mid-range
DEV000828,Android,12,Mid-range
DEV000829,Android,12,Budget
DEV000830,iOS,16.5,Mid-range
DEV000831,iOS,17.2,Budget
DEV000832,Android,12,Budget
DEV000833,Android,12,Premium
DEV000834,Android,13,Mid-range
DEV000835,Android,12,Mid-range
DEV000836,Android,12,Premium
DEV000837,Android,13,Mid-range
DEV000838,Android,12,Mid-range
DEV000839,Android,13,Budget
DEV000840,Android,13,Budget
DEV000841,Android,12,Mid-range
DEV000842,Android,12,Premium
DEV000843,Android,13,Budget
DEV000844,iOS,17.2,Budget
DEV000845,Android,14,Budget
DEV000846,iOS,16.5,Mid-range
DEV000847,Android,11,Mid-range
DEV000848,Android,12,Budget
DEV000849,Android,11,Budget
DEV000850,Android,12,Mid-range
DEV000851,Android,13,Mid-range
DEV000852,Android,12,Mid-range
DEV000853,Android,11,Premium
